Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
Langues, Littératures et Cultures Etrangères et Régionales,Sciences économiques et sociales;CPGE L;710;466.0;202
Langues, Littératures et Cultures Etrangères et Régionales,Sciences économiques et sociales;Ecoles d'Ingénieurs;36;13.0;7
Langues, Littératures et Cultures Etrangères et Régionales,Sciences économiques et sociales;Ecoles de Commerce;2196;1940.0;1478
Langues, Littératures et Cultures Etrangères et Régionales,Sciences économiques et sociales;D.E social;223;91.0;70
Langues, Littératures et Cultures Etrangères et Régionales,Sciences économiques et sociales;Formations d'ART;796;224.0;119
Langues, Littératures et Cultures Etrangères et Régionales,Sciences économiques et sociales;CUPGE;128;50.0;13
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de la vie et de la terre;Licence Géographie;75;60.0;12
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de la vie et de la terre;Licence Mathématiques et informatique;2;0.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de la vie et de la terre;Licence Physique;5;3.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de la vie et de la terre;Licence Pluri Lettres - Sciences du langage - Arts;21;18.0;1
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de la vie et de la terre;Licence Sciences de l'éducation;306;161.0;47
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de la vie et de la terre;Licence Sciences et technologies industrielles;109;29.0;5
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de la vie et de la terre;CPGE S;105;2.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de la vie et de la terre;D.E sanitaire;913;412.0;303
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de la vie et de la terre;Autres formations;337;151.0;60
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de la vie et de la terre;Ensemble des candidats bacheliers;4837;4510.0;3852
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;Licence Archéologie, Ethno, Préhistoire, Anthropologie;0;0.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;Licence Electronique, Génie électrique, EEA;1;1.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;Licence Génie civil;2;0.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;Licence Informatique;15;10.0;4
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;Licence MASS;1;0.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;Licence Pluri Langues;0;0.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;Licence Pluri Lettres - Langues - Sciences humaines;0;0.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;Licence Sciences du langage - Linguistique;4;4.0;1
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;Licence Sciences et technologies industrielles;1;0.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;Licence Sociologie, Démographie;1;1.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;BUT Production;30;15.0;8
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;CPGE ECG;0;0.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;CPGE S;3;0.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;Formations d'ART;20;8.0;7
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;Sciences Po;1;0.0;0
Langues, Littératures et Cultures Etrangères et Régionales,Sciences de l'ingénieur;Formations des écoles nationales vétérinaires;0;0.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;Licence AES;0;0.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;Licence Histoire;3;2.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;Licence MASS;0;0.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;Licence Mathématiques et informatique;0;0.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;Licence Pluri Lettres - Langues - Sciences humaines;1;1.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences économiques - Gestion;0;0.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;Licence Psychlogie, Sciences cognitives;2;1.0;1
Mathématiques,Littératures, langues et culture de l'antiquité;Licence STAPS;1;1.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;Licence Sciences juridiques;0;0.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;BUT Production;0;0.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;BUT Service;0;0.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;BTS service;1;1.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;Autres formations;3;2.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;DCG;0;0.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;Sciences Po;1;0.0;0
Mathématiques,Littératures, langues et culture de l'antiquité;Formations des écoles nationales vétérinaires;0;0.0;0
Mathématiques,Numérique et Sciences Informatiques;Licence Archéologie, Ethno, Préhistoire, Anthropologie;7;5.0;2
Mathématiques,Numérique et Sciences Informatiques;Licence Géographie;55;46.0;9
Mathématiques,Numérique et Sciences Informatiques;Licence Histoire;186;156.0;40
Mathématiques,Numérique et Sciences Informatiques;Licence Langues et littératures françaises;64;43.0;9
Mathématiques,Numérique et Sciences Informatiques;Licence Mathématiques et informatique;226;53.0;13
Mathématiques,Numérique et Sciences Informatiques;Licence Pluri Lettres - Sciences du langage - Arts;8;6.0;0
Mathématiques,Numérique et Sciences Informatiques;Licence Sciences de l'information et de la communication;135;67.0;19
Mathématiques,Numérique et Sciences Informatiques;Licence Sciences de l'univers, de la terre, de l'espace;12;8.0;2
Mathématiques,Numérique et Sciences Informatiques;Licence Sciences et technologies industrielles;661;333.0;92
Mathématiques,Numérique et Sciences Informatiques;Licence Sciences juridiques;258;179.0;67
Mathématiques,Numérique et Sciences Informatiques;PASS;127;42.0;14
Mathématiques,Numérique et Sciences Informatiques;BUT Production;6039;3636.0;1972
Mathématiques,Numérique et Sciences Informatiques;CPGE ECG;133;81.0;33
Mathématiques,Numérique et Sciences Informatiques;D.E social;5;1.0;1
Mathématiques,Numérique et Sciences Informatiques;Autres formations;1284;392.0;129
Mathématiques,Numérique et Sciences Informatiques;Formations des écoles nationales vétérinaires;2;0.0;0
Mathématiques,Physique-Chimie;Licence Chimie;10264;7787.0;581
Mathématiques,Physique-Chimie;Licence Géographie;796;703.0;118
Mathématiques,Physique-Chimie;Licence Langues et littératures étrangères;1719;1475.0;286
Mathématiques,Physique-Chimie;Licence Pluri Lettres - Langues - Sciences humaines;190;125.0;12
Mathématiques,Physique-Chimie;Licence Pluri Sciences humaines et sociales;94;55.0;4
Mathématiques,Physique-Chimie;Licence Sciences et technologies industrielles;7458;4794.0;619
Mathématiques,Physique-Chimie;PASS;15729;10906.0;6309
Mathématiques,Physique-Chimie;BUT Production;26549;19279.0;6366
Mathématiques,Physique-Chimie;BTS agricole;707;532.0;149
Mathématiques,Physique-Chimie;Ecoles d'Ingénieurs;28033;21274.0;12301
Mathématiques,Physique-Chimie;D.E sanitaire;2910;1480.0;639
Mathématiques,Sciences économiques et sociales;Licence AES;5733;4401.0;678
Mathématiques,Sciences économiques et sociales;Licence Archéologie, Ethno, Préhistoire, Anthropologie;107;70.0;7
Mathématiques,Sciences économiques et sociales;Licence Informatique;375;214.0;60
Mathématiques,Sciences économiques et sociales;Licence Mécanique, Génie mécanique, Ingénierie mécanique;7;5.0;1
Mathématiques,Sciences économiques et sociales;Licence Pluri Lettres - Sciences du langage - Arts;45;39.0;4
Mathématiques,Sciences économiques et sociales;Licence Sciences de gestion;5068;3425.0;963
Mathématiques,Sciences économiques et sociales;PASS;554;171.0;52
Mathématiques,Sciences économiques et sociales;CPGE S;204;35.0;11
Mathématiques,Sciences économiques et sociales;Ecoles de Commerce;4536;4145.0;2874
Mathématiques,Sciences économiques et sociales;CUPGE;726;466.0;99
Mathématiques,Sciences économiques et sociales;Formations des écoles nationales vétérinaires;14;0.0;0
Mathématiques,Sciences économiques et sociales;Ensemble des candidats bacheliers;23782;23086.0;20349
Mathématiques,Sciences de la vie et de la terre;Licence Archéologie, Ethno, Préhistoire, Anthropologie;93;64.0;9
Mathématiques,Sciences de la vie et de la terre;Licence Arts;732;507.0;159
Mathématiques,Sciences de la vie et de la terre;Licence Géographie;395;352.0;72
Mathématiques,Sciences de la vie et de la terre;Licence LEA;1148;927.0;200
Mathématiques,Sciences de la vie et de la terre;Licence Mathématiques;2056;1395.0;257
Mathématiques,Sciences de la vie et de la terre;Licence Philosophie, Epistémologie;235;151.0;30
Mathématiques,Sciences de la vie et de la terre;Licence Pluri Langues;26;11.0;1
Mathématiques,Sciences de la vie et de la terre;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;4943;2618.0;586
Mathématiques,Sciences de la vie et de la terre;Licence Pluri Sciences fondamentales et applications;15;0.0;0
Mathématiques,Sciences de la vie et de la terre;Licence Sciences du langage - Linguistique;415;383.0;90
Mathématiques,Sciences de la vie et de la terre;Licence Sciences juridiques;3100;2485.0;854
Mathématiques,Sciences de la vie et de la terre;Licence Sciences politiques;307;81.0;17
Mathématiques,Sciences de la vie et de la terre;Licence Sociologie, Démographie;859;707.0;99
Mathématiques,Sciences de la vie et de la terre;BUT Production;6300;2508.0;995
Mathématiques,Sciences de la vie et de la terre;CPGE L;347;253.0;102
Mathématiques,Sciences de la vie et de la terre;CPGE S;3940;1587.0;774
Mathématiques,Sciences de la vie et de la terre;Formations des écoles nationales vétérinaires;1210;27.0;26
Mathématiques,Sciences de la vie et de la terre;Ensemble des candidats bacheliers;26123;24687.0;21907
Mathématiques,Sciences de l'ingénieur;Licence Electronique, Génie électrique, EEA;67;63.0;6
Mathématiques,Sciences de l'ingénieur;Licence Géographie;68;63.0;12
Mathématiques,Sciences de l'ingénieur;Licence Langues et littératures étrangères;119;97.0;26
Mathématiques,Sciences de l'ingénieur;Licence MASS;179;127.0;18
Mathématiques,Sciences de l'ingénieur;Licence Mathématiques et informatique;24;2.0;0
Mathématiques,Sciences de l'ingénieur;Licence Pluri Droit - Sciences éco - AES;1;0.0;0
Mathématiques,Sciences de l'ingénieur;Licence Pluri Langues;2;1.0;0
Mathématiques,Sciences de l'ingénieur;Licence Psychlogie, Sciences cognitives;91;52.0;14
Mathématiques,Sciences de l'ingénieur;Licence Sciences de gestion;89;44.0;17
Mathématiques,Sciences de l'ingénieur;Licence Sciences de l'information et de la communication;62;37.0;7
Mathématiques,Sciences de l'ingénieur;Licence Sciences de l'univers, de la terre, de l'espace;20;16.0;4
Mathématiques,Sciences de l'ingénieur;Licence Sciences et technologies industrielles;382;151.0;22
Mathématiques,Sciences de l'ingénieur;Licence Sciences juridiques;163;114.0;52
Mathématiques,Sciences de l'ingénieur;Licence Las;570;174.0;20
Mathématiques,Sciences de l'ingénieur;BUT Service;710;262.0;71
Mathématiques,Sciences de l'ingénieur;BTS agricole;60;46.0;13
Mathématiques,Sciences de l'ingénieur;BTS production;1456;1036.0;247
Mathématiques,Sciences de l'ingénieur;Ecoles d'Ingénieurs;2174;1428.0;976
Mathématiques,Sciences de l'ingénieur;DEUST;65;22.0;7
Mathématiques,Sciences de l'ingénieur;Formations des écoles nationales vétérinaires;4;0.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;Licence AES;0;0.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;Licence Archéologie, Ethno, Préhistoire, Anthropologie;0;0.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;Licence Chimie;0;0.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;Licence LEA;1;1.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;Licence Langues et littératures françaises;0;0.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;Licence Physique et chimie;0;0.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;Licence Psychlogie, Sciences cognitives;0;0.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;Licence STAPS;0;0.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;Licence Sciences de l'éducation;0;0.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;Licence Sciences religieuses;0;0.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;CPGE S;0;0.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;DCG;0;0.0;0
Numérique et Sciences Informatiques,Littératures, langues et culture de l'antiquité;Sciences Po;0;0.0;0
Numérique et Sciences Informatiques,Physique-Chimie;Licence Arts;59;39.0;16
Numérique et Sciences Informatiques,Physique-Chimie;Licence Histoire;44;35.0;10
Numérique et Sciences Informatiques,Physique-Chimie;Licence LEA;23;17.0;4
Numérique et Sciences Informatiques,Physique-Chimie;Licence Philosophie, Epistémologie;4;3.0;0
Numérique et Sciences Informatiques,Physique-Chimie;Licence Physique;44;23.0;8
Numérique et Sciences Informatiques,Physique-Chimie;Licence Pluri Droit - Sciences éco - AES;1;0.0;0
Numérique et Sciences Informatiques,Physique-Chimie;Licence Psychlogie, Sciences cognitives;23;8.0;3
Numérique et Sciences Informatiques,Physique-Chimie;Licence Sciences de l'univers, de la terre, de l'espace;2;1.0;0
Numérique et Sciences Informatiques,Physique-Chimie;Licence Sciences et technologies industrielles;52;19.0;4
Numérique et Sciences Informatiques,Physique-Chimie;Licence Sciences religieuses;0;0.0;0
Numérique et Sciences Informatiques,Physique-Chimie;Licence Sciences économiques;4;0.0;0
Numérique et Sciences Informatiques,Physique-Chimie;PASS;27;8.0;3
Numérique et Sciences Informatiques,Physique-Chimie;BUT Service;72;28.0;9
Numérique et Sciences Informatiques,Physique-Chimie;CPGE ECG;2;1.0;0
Numérique et Sciences Informatiques,Physique-Chimie;Autres formations;87;23.0;9
Numérique et Sciences Informatiques,Physique-Chimie;CUPGE;10;3.0;1
Numérique et Sciences Informatiques,Sciences économiques et sociales;Licence Informatique;166;92.0;41
Numérique et Sciences Informatiques,Sciences économiques et sociales;Licence Langues et littératures françaises;14;8.0;3
Numérique et Sciences Informatiques,Sciences économiques et sociales;Licence Physique;1;1.0;1
Numérique et Sciences Informatiques,Sciences économiques et sociales;Licence Pluri Droit - Sciences éco - AES;1;1.0;1
Numérique et Sciences Informatiques,Sciences économiques et sociales;Licence Pluri Langues;1;0.0;0
Numérique et Sciences Informatiques,Sciences économiques et sociales;Licence Pluri Lettres - Sciences du langage - Arts;2;1.0;0
Numérique et Sciences Informatiques,Sciences économiques et sociales;Licence Pluri Sciences humaines et sociales;2;1.0;0
Numérique et Sciences Informatiques,Sciences économiques et sociales;Licence Sciences de gestion;75;29.0;10
Numérique et Sciences Informatiques,Sciences économiques et sociales;Licence Sciences de l'univers, de la terre, de l'espace;1;0.0;0
Numérique et Sciences Informatiques,Sciences économiques et sociales;Licence Sciences juridiques;112;68.0;23
Numérique et Sciences Informatiques,Sciences économiques et sociales;BUT Service;367;110.0;55
Numérique et Sciences Informatiques,Sciences économiques et sociales;Ecoles d'Ingénieurs;28;12.0;8
Numérique et Sciences Informatiques,Sciences économiques et sociales;DCG;55;30.0;13
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;Licence Arts;36;19.0;8
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;Licence Informatique;138;88.0;31
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;Licence Langues et littératures étrangères;23;19.0;9
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;Licence Mathématiques;51;26.0;5
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;Licence Pluri Langues;0;0.0;0
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;Licence Pluri Sciences;19;11.0;3
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;Licence Pluri Sciences humaines et sociales;0;0.0;0
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;Licence Sciences économiques;7;3.0;1
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;BTS service;176;83.0;21
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;CPGE S;13;0.0;0
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;D.E social;4;0.0;0
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;Autres formations;70;25.0;9
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;DCG;7;3.0;2
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;DEUST;38;16.0;9
Numérique et Sciences Informatiques,Sciences de la vie et de la terre;Sciences Po;1;0.0;0
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Electronique, Génie électrique, EEA;3;3.0;1
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Histoire;15;14.0;6
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Mécanique, Génie mécanique, Ingénierie mécanique;1;0.0;0
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Pluri Sciences;0;0.0;0
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;2;2.0;1
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Pluri Sciences humaines et sociales;0;0.0;0
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Pluri Sciences économiques - Gestion;14;10.0;3
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Psychlogie, Sciences cognitives;12;9.0;2
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Sciences de gestion;4;2.0;0
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Sciences de l'information et de la communication;15;9.0;4
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Sciences de la vie, biologie, santé;4;4.0;0
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Sciences du langage - Linguistique;1;1.0;0
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Sciences religieuses;0;0.0;0
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Sociologie, Démographie;2;1.0;1
Numérique et Sciences Informatiques,Sciences de l'ingénieur;PASS;3;2.0;1
Numérique et Sciences Informatiques,Sciences de l'ingénieur;BTS production;145;106.0;32
Numérique et Sciences Informatiques,Sciences de l'ingénieur;D.E sanitaire;4;1.0;1
Numérique et Sciences Informatiques,Sciences de l'ingénieur;CUPGE;6;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Génie civil;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Histoire;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence LEA;1;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Mathématiques;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Pluri Langues;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Sciences de l'information et de la communication;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Sciences et technologies industrielles;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Sciences politiques;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Sciences économiques;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;BUT Production;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;BTS agricole;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;CPGE L;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;CPGE S;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;CUPGE;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;DCG;0;0.0;0
Physique-Chimie,Sciences économiques et sociales;Licence Génie civil;9;7.0;3
Physique-Chimie,Sciences économiques et sociales;Licence Géographie;25;22.0;4
Physique-Chimie,Sciences économiques et sociales;Licence Mathématiques;19;11.0;3
Physique-Chimie,Sciences économiques et sociales;Licence Mécanique, Génie mécanique, Ingénierie mécanique;3;3.0;1
Physique-Chimie,Sciences économiques et sociales;Licence Physique et chimie;25;15.0;3
Physique-Chimie,Sciences économiques et sociales;Licence Pluri Langues;0;0.0;0
Physique-Chimie,Sciences économiques et sociales;Licence Pluri Lettres - Langues - Sciences humaines;6;5.0;1
Physique-Chimie,Sciences économiques et sociales;Licence Sciences du langage - Linguistique;18;14.0;2
Physique-Chimie,Sciences économiques et sociales;Licence Sciences juridiques;184;145.0;62
Physique-Chimie,Sciences économiques et sociales;BUT Service;323;128.0;64
Physique-Chimie,Sciences économiques et sociales;CPGE ECG;81;45.0;13
Physique-Chimie,Sciences économiques et sociales;Ecoles d'Ingénieurs;23;6.0;3
Physique-Chimie,Sciences économiques et sociales;Sciences Po;16;2.0;2
Physique-Chimie,Sciences de la vie et de la terre;Licence Arts;842;582.0;159
Physique-Chimie,Sciences de la vie et de la terre;Licence Chimie;7246;5240.0;701
Physique-Chimie,Sciences de la vie et de la terre;Licence Formation générale aux métiers de l'ingénieur;581;387.0;56
Physique-Chimie,Sciences de la vie et de la terre;Licence Géographie;401;347.0;74
Physique-Chimie,Sciences de la vie et de la terre;Licence Pluri Langues;31;13.0;3
Physique-Chimie,Sciences de la vie et de la terre;Licence STAPS;8699;5702.0;2580
Physique-Chimie,Sciences de la vie et de la terre;Licence Sciences et technologies industrielles;2235;1093.0;191
Physique-Chimie,Sciences de la vie et de la terre;BUT Service;2133;746.0;246
Physique-Chimie,Sciences de la vie et de la terre;CUPGE;483;125.0;14
Physique-Chimie,Sciences de l'ingénieur;Licence AES;12;7.0;2
Physique-Chimie,Sciences de l'ingénieur;Licence Langues et littératures françaises;3;3.0;0
Physique-Chimie,Sciences de l'ingénieur;Licence Langues et littératures étrangères;32;22.0;7
Physique-Chimie,Sciences de l'ingénieur;Licence Physique et chimie;53;28.0;7
Physique-Chimie,Sciences de l'ingénieur;Licence STAPS;70;37.0;20
Physique-Chimie,Sciences de l'ingénieur;Licence Sciences de la vie, biologie, santé;12;5.0;1
Physique-Chimie,Sciences de l'ingénieur;Licence Sciences et technologies industrielles;39;11.0;3
Physique-Chimie,Sciences de l'ingénieur;PASS;19;5.0;3
Physique-Chimie,Sciences de l'ingénieur;BTS agricole;18;11.0;3
Physique-Chimie,Sciences de l'ingénieur;CPGE L;2;1.0;1
Physique-Chimie,Sciences de l'ingénieur;Ecoles de Commerce;8;5.0;3
Physique-Chimie,Sciences de l'ingénieur;D.E social;0;0.0;0
Physique-Chimie,Sciences de l'ingénieur;Formations d'ART;33;10.0;6
Physique-Chimie,Sciences de l'ingénieur;DEUST;8;3.0;2
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Chimie;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Génie civil;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Langues et littératures étrangères;1;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Philosophie, Epistémologie;1;1.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Physique et chimie;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences économiques - Gestion;1;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Sociologie, Démographie;6;4.0;2
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;BUT Service;4;3.0;1
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;D.E sanitaire;2;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Formations d'ART;0;0.0;0
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence AES;1797;1397.0;375
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Informatique;67;28.0;5
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Langues et littératures françaises;200;162.0;30
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Pluri Droit - Sciences éco - AES;4;0.0;0
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Pluri Lettres - Sciences du langage - Arts;30;24.0;3
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Pluri Sciences économiques - Gestion;1995;1457.0;315
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence STAPS;3657;2363.0;1589
Sciences économiques et sociales,Sciences de la vie et de la terre;BTS service;3378;1774.0;594
Sciences économiques et sociales,Sciences de la vie et de la terre;Autres formations;794;277.0;99
Sciences économiques et sociales,Sciences de la vie et de la terre;CUPGE;27;6.0;2
Sciences économiques et sociales,Sciences de l'ingénieur;Licence AES;28;18.0;4
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Informatique;11;6.0;1
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Langues et littératures étrangères;2;2.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Physique et chimie;0;0.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Pluri Sciences économiques - Gestion;46;31.0;14
Sciences économiques et sociales,Sciences de l'ingénieur;Licence STAPS;19;11.0;5
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Sciences de l'information et de la communication;3;2.0;1
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Sciences politiques;2;2.0;1
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Sciences économiques;16;8.0;4
Sciences économiques et sociales,Sciences de l'ingénieur;CPGE ECG;4;0.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;CPGE S;5;2.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;Ecoles de Commerce;11;7.0;5
Sciences économiques et sociales,Sciences de l'ingénieur;Formations d'ART;3;1.0;1
Sciences économiques et sociales,Sciences de l'ingénieur;Autres formations;16;2.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Chimie;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Physique et chimie;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Pluri Langues;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;1;1.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Sciences de l'univers, de la terre, de l'espace;2;1.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Sciences de l'éducation;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Sciences de la vie, biologie, santé;5;5.0;2
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;BTS agricole;2;2.0;1
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;BTS production;1;1.0;0
